order_id,customer_id,name,email,address,city,postal_code,state,country,product,category,quantity,price,total,order_date,payment_method
bdd640fb-0667-4ad1-9c80-317fa3b1799d,23b8c1e9-3924-46de-beb1-3b9046685257,Megan Mcclain,fjohnson@hall.com,"79402 Peterson Drives Apt. 511, Davisstad, KS 06196",Herrerafurt,10829,Oklahoma,México,Finally,Deportes,3,798.58,2395.74,2025-05-14,Tarjeta de crédito
dc98d2c1-e2ac-472f-9e57-4f7aa0ee89ae,b45ed1f0-3139-432c-93cd-59bf5c941cf0,Matthew Mejia,michellejames@reid-diaz.com,"192 Frank Light Suite 835, East Lydiamouth, KY 09176",New Nancy,41746,Indiana,México,Reality,Electrónica,3,734.67,2204.01,2025-03-10,Transferencia
a491f0b2-ea1f-4a65-a27a-984d654821d0,23bed01d-43cf-4fde-a493-3b83757750a9,Justin Baker,icox@hotmail.com,"22691 James Mountain, Tashatown, VA 15515",Kaylamouth,15122,Maine,México,Learn,Hogar,1,600.88,600.88,2025-01-03,PayPal
b8db0672-f42d-47cc-80d4-af5974273ca3,f8cda88b-436d-46e2-b83c-fe0be037e5ed,Cassandra Gaines,ericfarmer@hotmail.com,"USS George, FPO AA 03053",West Natashaport,31886,Arkansas,México,Effect,Hogar,2,164.43,328.86,2025-05-23,Tarjeta de crédito
15ed6269-1429-4c07-b26b-4776913e4de2,11b7e948-d0e6-4660-bc69-dee1bb5e4bcf,Kim Martinez,josephbrennan@yahoo.com,"Unit 8346 Box 5787, DPO AE 32994",North Matthew,77611,Oklahoma,México,Drug,Deportes,3,464.66,1393.98,2025-03-28,Tarjeta de crédito
b535106e-122c-4a56-81d7-425638602ab6,114125c6-3a9b-4dd4-8f12-59e0a18ff6b6,Shannon Jones,elizabeth38@cummings.org,"3116 Henderson Mountain Apt. 106, Laurenville, ID 25432",Taylorburgh,37010,New Jersey,México,Enjoy,Libros,1,605.1,605.1,2025-05-22,Contraentrega
ceda8bbb-7171-4434-934c-6c92ec5b227c,19108be5-8ce2-4ea3-9b20-a56edc815fe7,Zachary Huff,gabrieltucker@hancock.com,"7468 Moore Hill Apt. 098, Lake Leeton, NJ 66410",North Susan,11001,Idaho,México,Authority,Electrónica,4,654.38,2617.52,2025-03-29,Tarjeta de crédito
3c365296-dca0-4eec-acda-bacc1165e210,e3e9de99-f10c-418b-9eb0-e38a675dd5af,Lauren Williams,ksandoval@stewart.com,"47510 Howell Port Apt. 183, Davidstad, CA 32519",Justinmouth,71701,Virginia,México,Five,Electrónica,1,970.21,970.21,2025-04-01,PayPal
a76afde6-ce9e-4a11-bcbb-4e59fbddcf7c,d12dbc9a-aaf9-4531-8200-b1f08768a84f,Tara Garcia,darrell18@nelson.com,"487 Whitehead Vista, North Cynthiaview, AL 44220",Lake Tina,21679,West Virginia,México,Letter,Hogar,4,939.17,3756.68,2025-03-21,Tarjeta de crédito
0279b6a6-8f97-47b0-ad7c-e3c9b4a69f3c,e21342b0-f1ee-4ba3-9343-2e611ca3c448,Brittany Johnson,russellwilliams@yahoo.com,"PSC 0533, Box 1586, APO AP 98736",East Michelle,23707,Nebraska,México,Ago,Libros,2,190.01,380.02,2025-01-07,PayPal
c84a7b28-550a-4b46-acab-3301bc8f7d29,ab7f089a-cd5f-4822-a966-08aaee49f329,Rita Adams,ebrennan@gonzalez.com,"03654 Tammy Harbors, Darlenefurt, ND 43905",North Natalieview,23906,Pennsylvania,México,Evidence,Deportes,1,621.31,621.31,2024-12-11,Contraentrega
587ef344-6f3f-420c-98b8-e4cc1bc044fc,6fb78271-504d-481f-8953-5b63ba81edd9,Kayla Cruz,bradley60@frost.com,"595 Jennifer Hills, Elizabethmouth, UT 39253",East Robert,50196,Utah,México,Smile,Hogar,2,529.51,1059.02,2025-05-28,Contraentrega
4d0b0d1a-91b0-41d9-9d92-62af2c8d0e44,001a9a8b-d56f-4350-8c45-9ce267f48ad5,Daniel Floyd,rramos@gmail.com,"148 Davis Terrace, Lake Lance, ID 19814",North Johnfort,80621,Wyoming,México,Baby,Libros,4,32.83,131.32,2025-03-02,Transferencia
